country_name,region_name
American Samoa,East Asia and Pacific
Australia,East Asia and Pacific
Brunei,East Asia and Pacific
Cambodia,East Asia and Pacific
China,East Asia and Pacific
Fiji,East Asia and Pacific
French Polynesia,East Asia and Pacific
Guam,East Asia and Pacific
Hong Kong,East Asia and Pacific
Indonesia,East Asia and Pacific
Japan,East Asia and Pacific
Kiribati,East Asia and Pacific
South Korea,East Asia and Pacific
Laos,East Asia and Pacific
Macao,East Asia and Pacific
Malaysia,East Asia and Pacific
Marshall Islands,East Asia and Pacific
Mongolia,East Asia and Pacific
Myanmar,East Asia and Pacific
Nauru,East Asia and Pacific
New Caledonia,East Asia and Pacific
New Zealand,East Asia and Pacific
Palau,East Asia and Pacific
Philippines,East Asia and Pacific
Samoa,East Asia and Pacific
Singapore,East Asia and Pacific
Solomon Islands,East Asia and Pacific
Taiwan,East Asia and Pacific
Thailand,East Asia and Pacific
Timor-Leste,East Asia and Pacific
Papua New Guinea,East Asia and Pacific
Tonga,East Asia and Pacific
Tuvalu,East Asia and Pacific
Vanuatu,East Asia and Pacific
Vietnam,East Asia and Pacific
Albania,Europe and Central Asia
Andorra,Europe and Central Asia
Armenia,Europe and Central Asia
Austria,Europe and Central Asia
Azerbaijan,Europe and Central Asia
Belarus,Europe and Central Asia
Belgium,Europe and Central Asia
Bosnia and Herzegovina,Europe and Central Asia
Bulgaria,Europe and Central Asia
Channel Islands,Europe and Central Asia
Croatia,Europe and Central Asia
Cyprus,Europe and Central Asia
Czech Republic,Europe and Central Asia
Denmark,Europe and Central Asia
Estonia,Europe and Central Asia
Faroe Islands,Europe and Central Asia
Finland,Europe and Central Asia
France,Europe and Central Asia
Georgia,Europe and Central Asia
Germany,Europe and Central Asia
Gibraltar,Europe and Central Asia
Greece,Europe and Central Asia
Greenland,Europe and Central Asia
Hungary,Europe and Central Asia
Iceland,Europe and Central Asia
Ireland,Europe and Central Asia
Isle of Man,Europe and Central Asia
Italy,Europe and Central Asia
Kazakhstan,Europe and Central Asia
Kosovo,Europe and Central Asia
Kyrgyz Republic,Europe and Central Asia
Latvia,Europe and Central Asia
Liechtenstein,Europe and Central Asia
Lithuania,Europe and Central Asia
Luxembourg,Europe and Central Asia
Moldova,Europe and Central Asia
Monaco,Europe and Central Asia
Montenegro,Europe and Central Asia
Netherlands,Europe and Central Asia
North Macedonia,Europe and Central Asia
Norway,Europe and Central Asia
Poland,Europe and Central Asia
Portugal,Europe and Central Asia
Romania,Europe and Central Asia
Russia,Europe and Central Asia
San Marino,Europe and Central Asia
Serbia,Europe and Central Asia
Slovak Republic,Europe and Central Asia
Slovenia,Europe and Central Asia
Spain,Europe and Central Asia
Sweden,Europe and Central Asia
Switzerland,Europe and Central Asia
Tajikistan,Europe and Central Asia
Turkey,Europe and Central Asia
Turkmenistan,Europe and Central Asia
Ukraine,Europe and Central Asia
United Kingdom,Europe and Central Asia
Uzbekistan,Europe and Central Asia
Antigua and Barbuda,Latin America and Caribbean
Argentina,Latin America and Caribbean
Aruba,Latin America and Caribbean
Bahamas,Latin America and Caribbean
Barbados,Latin America and Caribbean
Belize,Latin America and Caribbean
Bolivia,Latin America and Caribbean
Brazil,Latin America and Caribbean
British Virgin Islands,Latin America and Caribbean
Cayman Islands,Latin America and Caribbean
Chile,Latin America and Caribbean
Colombia,Latin America and Caribbean
Costa Rica,Latin America and Caribbean
Cuba,Latin America and Caribbean
Curacao,Latin America and Caribbean
Dominica,Latin America and Caribbean
Dominican Republic,Latin America and Caribbean
Ecuador,Latin America and Caribbean
El Salvador,Latin America and Caribbean
Grenada,Latin America and Caribbean
Guatemala,Latin America and Caribbean
Guyana,Latin America and Caribbean
Haiti,Latin America and Caribbean
Honduras,Latin America and Caribbean
Jamaica,Latin America and Caribbean
Mexico,Latin America and Caribbean
Nicaragua,Latin America and Caribbean
Panama,Latin America and Caribbean
Paraguay,Latin America and Caribbean
Peru,Latin America and Caribbean
Puerto Rico,Latin America and Caribbean
Sint Maarten (Dutch part),Latin America and Caribbean
St. Kitts and Nevis,Latin America and Caribbean
St. Lucia,Latin America and Caribbean
St. Martin (French part),Latin America and Caribbean
St. Vincent and the Grenadines,Latin America and Caribbean
Suriname,Latin America and Caribbean
Trinidad and Tobago,Latin America and Caribbean
Turks and Caicos Islands,Latin America and Caribbean
Uruguay,Latin America and Caribbean
Venezuela,Latin America and Caribbean
United States Virgin Islands,Latin America and Caribbean
Algeria,Middle East and North Africa
Bahrain,Middle East and North Africa
Djibouti,Middle East and North Africa
Egypt,Middle East and North Africa
Iran,Middle East and North Africa
Iraq,Middle East and North Africa
Israel,Middle East and North Africa
Jordan,Middle East and North Africa
Kuwait,Middle East and North Africa
Lebanon,Middle East and North Africa
Libya,Middle East and North Africa
Malta,Middle East and North Africa
Morocco,Middle East and North Africa
Oman,Middle East and North Africa
Palestine,Middle East and North Africa
Qatar,Middle East and North Africa
Saudi Arabia,Middle East and North Africa
Syria,Middle East and North Africa
Tunisia,Middle East and North Africa
United Arab Emirates,Middle East and North Africa
West Bank and Gaza,Middle East and North Africa
Yemen,Middle East and North Africa
Bermuda,North America
Canada,North America
United States,North America
Afghanistan,South Asia
Bangladesh,South Asia
Bhutan,South Asia
India,South Asia
Maldives,South Asia
Nepal,South Asia
Pakistan,South Asia
Sri Lanka,South Asia
Angola,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
